sweep,colormap,param,nMAE,SSIM
quality,hot,75,3.050477243816091,0.8420489818471102
quality,hot,85,2.773633268716168,0.8708176980488591
quality,hot,95,2.595091185504474,0.8875059894533517
resolution,hot,256,2.773633268716168,0.8708176980488591
resolution,hot,192,2.106322769057385,0.9065242973008246
resolution,hot,128,1.80174775990171,0.9260773750528638
resolution,hot,96,1.7400025854306218,0.9261030730109763
resolution,hot,64,2.1475227561871644,0.9162788069463883
quality,jet,50,4.64905846985433,0.4311526681304336
quality,jet,65,4.422922859272265,0.48286934823884536
quality,jet,75,4.260263178265014,0.5175732469487249
quality,jet,85,4.081015333533749,0.5437290990102653
quality,jet,95,4.015951324313863,0.5512308799311437
resolution,jet,256,4.081015333533749,0.5437290990102653
resolution,jet,192,2.5007253514562375,0.8088152255828858
resolution,jet,128,1.5062141523230104,0.9440245245015253
resolution,jet,96,1.3265741687549535,0.9512974203511252
resolution,jet,64,1.1910535009326713,0.9679814839679329
quality,viridis,50,5.607121754684393,0.3975575807103839
quality,viridis,65,5.370627387065243,0.43081445803327395
quality,viridis,75,5.155481124155228,0.47403377392417323
quality,viridis,85,4.824058010949947,0.531717301018521
quality,viridis,95,4.32425063123233,0.6343112332416418
resolution,viridis,256,4.824058010949947,0.531717301018521
resolution,viridis,192,3.291650132108833,0.7354895459966463
resolution,viridis,128,2.2993764293954,0.8709129025586733
resolution,viridis,96,1.874734307259697,0.9183303956817289
resolution,viridis,64,1.4767948445100512,0.9663544440755597
quality,copper,50,1.7474278819418987,0.845744839402536
quality,copper,65,1.5016740315577988,0.8777467028129932
quality,copper,75,1.3917858543584658,0.8953162913839646
quality,copper,85,1.2052059661174663,0.9156664781430229
quality,copper,95,0.9248443166686184,0.9492287367798107
resolution,copper,256,1.2052059661174663,0.9156664781430229
resolution,copper,192,0.883091274184588,0.9600113541832123
resolution,copper,128,0.7819430863159613,0.975877171756093
resolution,copper,96,0.7402308459124527,0.9832104513399424
resolution,copper,64,0.6866757557654946,0.9909527821050189
quality,hot,50,1.494778757267183,0.866205397172338
quality,hot,65,1.3945554793800248,0.880274059501399
quality,hot,75,1.2888003273983781,0.8944549988367381
quality,hot,85,1.1617221904103576,0.9117832109619043
quality,hot,95,0.9348383820300785,0.9416830296524262
resolution,hot,256,1.1617221904103576,0.9117832109619043
resolution,hot,192,0.8516994161140783,0.9595370880850053
resolution,hot,128,0.7935017370536215,0.975194237109759
resolution,hot,96,0.758214078642169,0.9808742687237928
resolution,hot,64,0.8905165989566208,0.9843554382851439
quality,jet,50,1.4100522265179267,0.8717083646511957
quality,jet,65,1.3008864622088243,0.8892503983476097
quality,jet,75,1.2254586635225455,0.9007459240178154
quality,jet,85,1.0871522131865647,0.9196705127493365
quality,jet,95,0.9140017736065386,0.9430859869032128
resolution,jet,256,1.0871522131865647,0.9196705127493365
resolution,jet,192,0.7588892606280699,0.966199795198496
resolution,jet,128,0.6421789623956234,0.9827107279280045
resolution,jet,96,0.5714993082669954,0.9890611027037798
resolution,jet,64,0.5168588110562614,0.9920584859522151
quality,viridis,50,1.9497544396892335,0.8068740012310762
quality,viridis,65,1.7884074784381907,0.8309093825817885
quality,viridis,75,1.70492322891975,0.8406751309297974
quality,viridis,85,1.5150089136509495,0.8683945562861223
quality,viridis,95,1.233319840316732,0.9124464591305064
resolution,viridis,256,1.5150089136509495,0.8683945562861223
resolution,viridis,192,1.1658835534537595,0.9373242400123183
resolution,viridis,128,0.945488170701432,0.9699401672193543
resolution,viridis,96,0.8070471363251043,0.9830438939601044
resolution,viridis,64,0.6234237138600266,0.9943486187566684
quality,copper,50,2.2620672850086043,0.7829575566728733
quality,copper,65,1.9941418724738689,0.8269290070511
quality,copper,75,1.8668155955286692,0.8448998863742719
quality,copper,85,1.6221171756516852,0.8831402920404632
quality,copper,95,1.2336047601493099,0.9333111356586535
resolution,copper,256,1.6221171756516852,0.8831402920404632
resolution,copper,192,1.3032306515271421,0.9326714182697525
resolution,copper,128,1.1156371353358845,0.9525589795718007
resolution,copper,96,1.0080009713351479,0.9641416272917315
resolution,copper,64,0.8389261846361136,0.980573980467586
quality,hot,50,2.293619609015866,0.7854482390549045
quality,hot,65,2.2006185779929996,0.801435456093471
quality,hot,75,2.0217676128495414,0.8298536239534812
quality,hot,85,1.7165921280550192,0.8753290965842563
quality,hot,95,1.3602997901426255,0.9206316733938703
resolution,hot,256,1.7165921280550192,0.8753290965842563
resolution,hot,192,1.4094476529052198,0.9248532269387356
resolution,hot,128,1.1632103958629814,0.9519682785235039
resolution,hot,96,1.0226783158902504,0.96437265145667
resolution,hot,64,0.8959066129301781,0.9788506970973551
quality,jet,50,2.8602474491992522,0.5992731340614739
quality,jet,65,2.6531208998621327,0.6643096349142715
quality,jet,75,2.4330457628908553,0.7163232276945588
quality,jet,85,2.182139787116329,0.7680469184077673
quality,jet,95,2.0627123936078853,0.7891439862077153
resolution,jet,256,2.182139787116329,0.7680469184077673
resolution,jet,192,1.800103421238836,0.8704210938994875
resolution,jet,128,1.3427725018131114,0.9392995931971595
resolution,jet,96,1.2101105095598685,0.9557305062169474
resolution,jet,64,0.9922170234414043,0.9780138328007459
quality,viridis,50,3.0101445860751412,0.5733492035423833
quality,viridis,65,2.9811906649343514,0.5738722981355836
quality,viridis,75,2.833032967780635,0.6110766787327755
quality,viridis,85,2.627201943700217,0.6621904061228362
quality,viridis,95,2.059578508488578,0.7958438282211555
resolution,viridis,256,2.627201943700217,0.6621904061228362
resolution,viridis,192,2.4005247212120744,0.7575595201842842
resolution,viridis,128,2.0078326550262267,0.8463755003136021
resolution,viridis,96,1.7114083728654286,0.8961961290218624
resolution,viridis,64,1.165445905238709,0.9621537268819123
quality,copper,50,2.0012135320744573,0.7884940223322064
quality,copper,65,1.729007419418483,0.8393323422827303
quality,copper,75,1.6333228774940418,0.8536203560776643
quality,copper,85,1.3790824043729741,0.896196658174891
quality,copper,95,1.0663886086924292,0.934600667470098
resolution,copper,256,1.3790824043729741,0.896196658174891
resolution,copper,192,0.9786146470315249,0.947597909867521
resolution,copper,128,0.8311306303360734,0.9639173829408382
resolution,copper,96,0.7489418837393061,0.9716493208993628
resolution,copper,64,0.6341941445983983,0.9827558657562995
quality,hot,50,1.9703356388674098,0.8114509856234244
quality,hot,65,1.9121460776710226,0.824381586999345
quality,hot,75,1.737242947556244,0.8540740603465969
quality,hot,85,1.5481958179073663,0.8848419911601593
quality,hot,95,1.1989348984876935,0.9317840397171748
resolution,hot,256,1.5481958179073663,0.8848419911601593
resolution,hot,192,1.290326826253183,0.9239137458674064
resolution,hot,128,1.2347664027728458,0.9342156516833513
resolution,hot,96,1.1933220147361263,0.9394327838836033
resolution,hot,64,1.290554194269454,0.9422161884990192
quality,jet,50,2.278592476786029,0.6813229170269812
quality,jet,65,2.149029381049962,0.7166648320985195
quality,jet,75,2.0113773121932486,0.7542691318032132
quality,jet,85,1.7950544314462498,0.8043089548704082
quality,jet,95,1.651949988820605,0.8326427994375413
resolution,jet,256,1.7950544314462498,0.8043089548704082
resolution,jet,192,1.3197285441243956,0.8999858393552397
resolution,jet,128,1.0505789515006678,0.9466506548544713
resolution,jet,96,0.938116403422781,0.9617585884289368
resolution,jet,64,0.897359475729108,0.9768821226813819
quality,viridis,50,2.5506818906856346,0.6597324381678378
quality,viridis,65,2.4508576886482616,0.6671568275488269
quality,viridis,75,2.3093428946726036,0.6905119877037121
quality,viridis,85,2.1338715669543245,0.7267654870573463
quality,viridis,95,1.729027569113872,0.8202229380489318
resolution,viridis,256,2.1338715669543245,0.7267654870573463
resolution,viridis,192,1.693893622978676,0.8254995922367969
resolution,viridis,128,1.412168005299778,0.8849543950037022
resolution,viridis,96,1.196769047414797,0.9208802230458726
resolution,viridis,64,0.8653917904712914,0.9648453866128671
quality,copper,50,2.3404422165988836,0.7994553658338458
quality,copper,65,2.044013048772189,0.8438755806096216
quality,copper,75,1.8886049288005053,0.8678714524548539
quality,copper,85,1.6337650559275374,0.8987449826857937
quality,copper,95,1.2044002362957151,0.9456130599469836
resolution,copper,256,1.6337650559275374,0.8987449826857937
resolution,copper,192,1.1849490447198265,0.9509462364377134
resolution,copper,128,0.9490708098165842,0.9719402317015408
resolution,copper,96,0.8387564344853059,0.9813625328846073
resolution,copper,64,0.6254578403147942,0.9912350348916613
quality,hot,50,2.55092201435413,0.7555619581151413
quality,hot,65,2.4472749629976436,0.7785026004842951
quality,hot,75,2.2554555277918724,0.8062602642124812
quality,hot,85,1.9880610643117735,0.8494953221436102
quality,hot,95,1.6486150672799929,0.8998155953674207
resolution,hot,256,1.9880610643117735,0.8494953221436102
resolution,hot,192,1.6612669393188622,0.9179057666725853
resolution,hot,128,1.4535437230246826,0.9506832305940367
resolution,hot,96,1.3921179834039052,0.9619464711719321
resolution,hot,64,1.3559102205979159,0.970345831957087
quality,jet,50,2.475731476072996,0.7595646647568686
quality,jet,65,2.299887516970249,0.7955441592959536
quality,jet,75,2.1658051424780207,0.8199375206400301
quality,jet,85,1.954898371304668,0.8511452661854149
quality,jet,95,1.8071961366691993,0.8719607378876866
resolution,jet,256,1.954898371304668,0.8511452661854149
resolution,jet,192,1.4584736697324956,0.9284812957387054
resolution,jet,128,1.1073736670802787,0.9652071653185645
resolution,jet,96,1.007734563647838,0.9744845315172249
resolution,jet,64,0.8564146681567946,0.9839068221598439
quality,viridis,50,2.9445754777751887,0.6605698229356389
quality,viridis,65,2.8658162658481325,0.6751170222886238
quality,viridis,75,2.7418328864557253,0.6955563995608529
quality,viridis,85,2.444293180073618,0.7569809517152245
quality,viridis,95,1.9850262660713027,0.8414497339911933
resolution,viridis,256,2.444293180073618,0.7569809517152245
resolution,viridis,192,1.8987377482977401,0.871542916549818
resolution,viridis,128,1.448082021542914,0.937836522913378
resolution,viridis,96,1.1928911185032585,0.9643609667016999
resolution,viridis,64,0.7456799183681074,0.9881011741008349
quality,copper,50,2.021716500613095,0.791237497340203
quality,copper,65,1.765019558995334,0.8357707842095208
quality,copper,75,1.6520732832811444,0.8547942024885058
quality,copper,85,1.4448351399848476,0.8874107214362483
quality,copper,95,1.009720597621765,0.9469187847691397
resolution,copper,256,1.4448351399848476,0.8874107214362483
resolution,copper,192,0.9536161090268104,0.9573766636632686
resolution,copper,128,0.8410098196481524,0.9753677796174663
resolution,copper,96,0.7986907281554511,0.9825714037906327
resolution,copper,64,0.6916654079745411,0.9913992476742259
quality,hot,50,2.0449089279661368,0.7808376546300975
quality,hot,65,1.9915166796631856,0.7942104668389738
quality,hot,75,1.8715131826123954,0.812301686035531
quality,hot,85,1.6979464197342313,0.8457329237745123
quality,hot,95,1.39185652829371,0.898651746991918
resolution,hot,256,1.6979464197342313,0.8457329237745123
resolution,hot,192,1.3063587303661832,0.9320821281761217
resolution,hot,128,1.2052304475067284,0.9609544014294943
resolution,hot,96,1.1908707664633382,0.9710681396176769
resolution,hot,64,1.2307453587330608,0.981818282882988
quality,jet,50,1.8557299963572982,0.8120222956877202
quality,jet,65,1.7573326128501758,0.8325945823495561
quality,jet,75,1.6467664580327366,0.8535888421267683
quality,jet,85,1.4518743125312947,0.8853240972345281
quality,jet,95,1.2958448614068088,0.9085984613171896
resolution,jet,256,1.4518743125312947,0.8853240972345281
resolution,jet,192,1.0017271181660814,0.9553576947508645
resolution,jet,128,0.8279636535049164,0.9786942155404903
resolution,jet,96,0.7622509147716614,0.9854901536417519
resolution,jet,64,0.7027136664407352,0.9926370375770905
quality,viridis,50,2.321482686241712,0.7160944336274907
quality,viridis,65,2.2204674722343305,0.7331048409096164
quality,viridis,75,2.106255016398759,0.7521880552330514
quality,viridis,85,1.9486999336043944,0.7848413584980347
quality,viridis,95,1.6191492261571392,0.850888062802806
resolution,viridis,256,1.9486999336043944,0.7848413584980347
resolution,viridis,192,1.4493247430727407,0.8995984557640895
resolution,viridis,128,1.2355964799062513,0.9471124769203306
resolution,viridis,96,1.094836156200965,0.9673457612370154
resolution,viridis,64,0.8241323225339643,0.9883588834386365
quality,copper,50,2.036706896441937,0.8247299276214776
quality,copper,65,1.6718072024724633,0.8768437093542996
quality,copper,75,1.5620564012170979,0.8909667261849176
quality,copper,85,1.3550034717148154,0.9172351304487624
quality,copper,95,0.9960194122024112,0.9556611569296564
resolution,copper,256,1.3550034717148154,0.9172351304487624
resolution,copper,192,1.0897316580441452,0.9588001379446571
resolution,copper,128,1.0340644309622937,0.9743098061212551
resolution,copper,96,0.9940823714184591,0.9812982149746984
resolution,copper,64,0.7773403312135655,0.9910192111089755
quality,hot,50,2.059596066748342,0.8218926164434524
quality,hot,65,2.0375113997125602,0.831141292552658
quality,hot,75,1.8459897909198262,0.8519013873628895
quality,hot,85,1.6469250748436643,0.8828998039334627
quality,hot,95,1.3313496423907274,0.9274077763503832
resolution,hot,256,1.6469250748436643,0.8828998039334627
resolution,hot,192,1.6116722835110917,0.9238654024078898
resolution,hot,128,1.7687231518203839,0.94021105215127
resolution,hot,96,1.8509349939516706,0.9467237832951354
resolution,hot,64,2.053149918744123,0.9501692289800727
quality,jet,50,1.8853858202101375,0.8368205286869779
quality,jet,65,1.768987290418184,0.8561720448942638
quality,jet,75,1.6535808964417114,0.8749974476986146
quality,jet,85,1.471150915747425,0.9009592972662319
quality,jet,95,1.3083226858789674,0.9219823497200352
resolution,jet,256,1.471150915747425,0.9009592972662319
resolution,jet,192,1.2309671768440897,0.95189931271665
resolution,jet,128,1.1616103825543327,0.9729741401052132
resolution,jet,96,1.130240679452163,0.9787892173191914
resolution,jet,64,1.0749291918873816,0.9847223046942349
quality,viridis,50,2.4272233008953052,0.7446613208623991
quality,viridis,65,2.3402940015837195,0.75803483995081
quality,viridis,75,2.1803322218130967,0.7833808753778829
quality,viridis,85,1.9502070526238535,0.8206575164726457
quality,viridis,95,1.573358243591854,0.8816183546371145
resolution,viridis,256,1.9502070526238535,0.8206575164726457
resolution,viridis,192,1.709358915902888,0.8973979945203996
resolution,viridis,128,1.579633687589864,0.9425102859389676
resolution,viridis,96,1.4127973453363398,0.9625855651507134
resolution,viridis,64,0.9829380430878292,0.9858898236356208
quality,copper,50,2.0917324517289217,0.7815108795860035
quality,copper,65,1.876471581172877,0.8204768146841961
quality,copper,75,1.7417756484425995,0.8456921518891957
quality,copper,85,1.5121728946706903,0.8828471295562468
quality,copper,95,1.0814776139857707,0.9434950223274876
resolution,copper,256,1.5121728946706903,0.8828471295562468
resolution,copper,192,1.0225064657549328,0.9515659612416257
resolution,copper,128,0.8949829405225843,0.9717340958348848
resolution,copper,96,0.9241581478981072,0.9796583608639501
resolution,copper,64,0.8490069334330281,0.9887379477481989
quality,hot,50,2.222417352762299,0.7487465667473567
quality,hot,65,2.1587055337310446,0.7629740285184249
quality,hot,75,2.0245605700754132,0.7865866591537674
quality,hot,85,1.8459199264796828,0.8249931063257111
quality,hot,95,1.5136979684555494,0.887114136070714
resolution,hot,256,1.8459199264796828,0.8249931063257111
resolution,hot,192,1.4352432020634853,0.9168020841237858
resolution,hot,128,1.2930202710827237,0.9515402061236423
resolution,hot,96,1.297307016558973,0.9643901070637381
resolution,hot,64,1.2748634334353641,0.976588487364568
quality,jet,50,2.057013861635817,0.779852387145272
quality,jet,65,1.9415699920444944,0.8066038394018792
quality,jet,75,1.870284506010133,0.8228846269943306
quality,jet,85,1.6536592651602133,0.8588284204811258
quality,jet,95,1.4774290550465192,0.8864728223886956
resolution,jet,256,1.6536592651602133,0.8588284204811258
resolution,jet,192,1.1933596982058694,0.9316426859267097
resolution,jet,128,0.9858695435942801,0.9642219723806897
resolution,jet,96,0.9881370003099776,0.973496112413216
resolution,jet,64,0.9291767493100357,0.9836435564322074
quality,viridis,50,2.4120593434824324,0.687876701374288
quality,viridis,65,2.3488908281678436,0.6998028992544844
quality,viridis,75,2.2374937364264857,0.7212876168164887
quality,viridis,85,2.0661334518053165,0.7606052675400715
quality,viridis,95,1.7068727348732826,0.8388744050033201
resolution,viridis,256,2.0661334518053165,0.7606052675400715
resolution,viridis,192,1.544415052047217,0.8820662885230934
resolution,viridis,128,1.283190418720429,0.9398898294241627
resolution,viridis,96,1.200404153973385,0.9626825999645565
resolution,viridis,64,0.9091985551426939,0.9867268499298525
quality,copper,50,2.5173369140132915,0.8061000378392027
quality,copper,65,2.1891478700333122,0.8504497525544451
quality,copper,75,2.059833271315676,0.8663417272075841
quality,copper,85,1.7555515381039493,0.9036814753105906
quality,copper,95,1.2984723024253007,0.9493175455054966
resolution,copper,256,1.7555515381039493,0.9036814753105906
resolution,copper,192,1.2269016852347736,0.9615201849210322
resolution,copper,128,1.0273974812040045,0.9811155986960426
resolution,copper,96,0.9899375199681206,0.9877685463177103
resolution,copper,64,0.835291043970429,0.9950789831948044
quality,hot,50,2.5669892366994365,0.807905590557469
quality,hot,65,2.482240238312041,0.8229384112337458
quality,hot,75,2.287665826304945,0.8461392198866038
quality,hot,85,2.0264088869244494,0.880617566177681
quality,hot,95,1.682583897692223,0.9205241604328862
resolution,hot,256,2.0264088869244494,0.880617566177681
resolution,hot,192,1.7175178396436872,0.9337033031651651
resolution,hot,128,1.5849571179354403,0.9588043691144036
resolution,hot,96,1.6047790957687231,0.9665852955405643
resolution,hot,64,1.7230580862483504,0.971394336815544
quality,jet,50,2.8044961650487923,0.7290122591078583
quality,jet,65,2.656088857114509,0.7627691500625523
quality,jet,75,2.4832743975227403,0.7915602514164957
quality,jet,85,2.256953006660024,0.8277600094522825
quality,jet,95,2.1378558483950236,0.8427493480798304
resolution,jet,256,2.256953006660024,0.8277600094522825
resolution,jet,192,1.6529848148894608,0.9321635044567694
resolution,jet,128,1.267634024901178,0.975992071979401
resolution,jet,96,1.2216351781199648,0.9844404589039818
resolution,jet,64,1.195729055051743,0.9913495577465765
quality,viridis,50,3.160840223484017,0.6758557625259368
quality,viridis,65,3.043975329848026,0.6916342783695955
quality,viridis,75,2.8898595383617796,0.7187790811883858
quality,viridis,85,2.672517782148286,0.7557531261569806
quality,viridis,95,2.20426504993504,0.8357414809007265
resolution,viridis,256,2.672517782148286,0.7557531261569806
resolution,viridis,192,2.0668721800206606,0.8833362150520137
resolution,viridis,128,1.6381727041081553,0.9493002592036526
resolution,viridis,96,1.4118037397439254,0.9726388336497643
resolution,viridis,64,0.9923917205428066,0.9915766921213438
